Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,out_channels,hidden_channels,num_layers,base_lr,mlp_layer,score_num_layers_predictor,score_gin_mlp_layer,score_hidden_channels,score_out_channels,score_num_layers,score_dropout,product,epochs,train_time,test_time,params
Tune,34.58,37.78,45.08,57.81,74.54,85.29,39.48,34.58,37.78,45.08,57.81,74.54,85.29,95.87,96.41,87.58,16,16,1,0.015,1,1,2,64.0,1,1,0.1,inner,2000,0.793095588684082,0.8308582305908203,4816
arxiv_2023_runpsocb4wi_GIN_Variant_hyperxanhdzvb,28.09,35.24,46.91,55.73,72.72,82.71,34.05,28.09,35.24,46.91,55.73,72.72,82.71,95.6,96.12,74.06,64,64,1,0.0089,1,3,2,64.0,1,3,0.1,inner,1000,1.275841474533081,1.2944989204406738,19264
arxiv_2023_run871pt9ba_GIN_Variant,0.0,30.48,43.2,52.08,64.96,74.19,17.14,0.0,30.48,43.2,52.08,64.96,74.19,92.35,93.81,83.77,64,64,1,0.0089,1,3,2,64.0,1,3,0.1,inner,2000,1.2177307605743408,1.267810583114624,19264
arxiv_2023_run871pt9ba_GIN_Variant,0.0,30.48,43.2,52.08,64.96,94.62,17.14,0.0,30.48,43.2,52.08,64.96,94.62,98.84,98.92,94.65,64,64,1,0.0089,1,3,2,64.0,1,3,0.1,dot,2000,1.5373964309692385,1.5870935916900637,27649
arxiv_2023_run871pt9ba_GIN_Variant,0.0,30.48,44.88,53.6,89.5,94.62,17.14,0.0,30.48,44.88,53.6,89.5,94.62,98.84,98.92,94.65,64,64,1,0.0089,2,3,2,64.0,1,3,0.1,inner,2000,1.6830461025238037,1.7402737140655518,23424
arxiv_2023_run871pt9ba_GIN_Variant,0.0,30.48,44.88,53.6,89.5,94.62,17.14,0.0,30.48,44.88,53.6,89.5,94.62,98.84,98.57,94.65,64,64,1,0.0089,2,3,2,64.0,1,3,0.1,dot,2000,1.5962607860565186,1.684798002243042,31809
arxiv_2023_run871pt9ba_GIN_Variant,0.0,30.48,44.88,53.6,89.5,94.62,17.14,0.0,30.48,44.88,53.6,89.5,94.62,98.84,98.57,94.65,64,64,1,0.0089,3,3,2,64.0,1,3,0.1,inner,2000,2.0149970054626465,2.076295852661133,27584
arxiv_2023_run871pt9ba_GIN_Variant,0.0,30.48,44.88,53.6,89.5,94.62,17.14,0.0,30.48,44.88,53.6,89.5,94.62,98.84,98.57,94.65,64,64,1,0.0089,3,3,2,64.0,1,3,0.1,dot,2000,1.4676759243011477,1.520714521408081,35969
arxiv_2023_run871pt9ba_GIN_Variant,0.0,30.48,44.88,53.6,93.46,97.67,17.14,0.0,30.48,44.88,53.6,93.46,97.67,98.84,98.57,94.65,64,64,2,0.0089,1,3,2,64.0,1,3,0.1,inner,2000,1.575448513031006,1.6109883785247805,23424
arxiv_2023_rundty6ew3p_GIN_Variant,0.0,29.56,41.48,51.77,66.48,74.19,17.13,0.0,29.56,41.48,51.77,66.48,74.19,92.76,94.08,70.44,64,64,1,0.0089,1,3,2,64.0,1,3,0.1,inner,2000,8.025652408599854,8.133999109268188,19264
arxiv_2023_rundty6ew3p_GIN_Variant,0.0,29.56,41.48,51.77,66.48,93.81,17.13,0.0,31.95,41.48,51.77,66.48,93.81,98.82,98.42,94.73,64,64,1,0.0089,1,3,2,64.0,1,3,0.1,dot,2000,10.445053339004517,10.529745817184448,27649
arxiv_2023_rundty6ew3p_GIN_Variant,0.0,30.98,41.48,51.77,66.48,90.87,17.13,0.0,31.95,41.48,51.77,66.48,90.87,98.82,98.42,94.73,64,64,1,0.0089,2,3,2,64.0,1,3,0.1,inner,2000,8.800077438354492,8.911878824234009,23424
arxiv_2023_rundty6ew3p_GIN_Variant,0.0,30.98,41.48,51.77,66.48,90.87,17.13,0.0,31.95,41.48,51.77,66.48,90.87,98.82,98.42,94.73,64,64,1,0.0089,2,3,2,64.0,1,3,0.1,dot,2000,10.738533735275269,10.83514666557312,31809
Best,34.58,37.78,46.91,57.81,93.46,97.67,39.48,34.58,37.78,46.91,57.81,93.46,97.67,98.84,98.92,94.73,64,64,2,0.015,3,3,2,64.0,1,3,0.1,inner,2000,10.738533735275269,10.83514666557312,35969
