Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,base_lr,batch_size,out_channels,hidden_channels,heads,negative_slope,dropout,num_layers,epochs
cora_runkrvfcv4k_GAT,70.11,85.06,88.75,90.77,92.25,92.8,78.98,70.11,85.06,88.75,90.77,92.25,92.8,96.59,97.53,85.52,0.01,1024,32,32,4,0.1,0.0,5,10000
cora_run6w7pi7ax_GAT,54.61,83.21,88.75,90.77,91.88,91.88,71.71,54.61,83.21,88.75,90.77,91.88,91.88,96.34,97.28,86.07,0.01,1024,32,32,4,0.1,0.0,6,10000
cora_run0pisfsao_GAT,73.06,83.21,88.38,90.77,91.88,91.88,71.71,73.06,83.21,88.38,90.77,91.88,91.88,96.34,97.28,87.27,0.01,1024,32,32,4,0.1,0.0,7,10000
cora_run7wwufgt2_GAT,63.65,80.07,88.38,90.77,91.88,91.88,71.89,63.65,80.07,88.38,90.77,91.88,91.88,96.34,97.28,87.27,0.01,1024,32,32,4,0.1,0.1,5,10000
cora_runkz16mcez_GAT,63.65,80.07,88.38,90.77,91.88,91.88,71.89,63.65,80.07,88.38,90.77,91.88,91.88,96.34,97.28,87.27,0.01,1024,32,32,4,0.1,0.1,6,10000
cora_run9m6ek37r_GAT,63.65,81.92,88.38,90.77,91.88,91.88,71.89,63.65,81.92,88.38,90.77,91.88,91.88,96.34,97.28,87.27,0.01,1024,32,32,4,0.1,0.1,7,10000
cora_runsthhyqb4_GAT,70.11,85.06,88.75,90.77,92.25,92.44,78.98,70.11,85.06,88.75,90.77,92.25,92.44,96.58,97.53,85.52,0.01,1024,32,32,4,0.1,0.0,5,10000
cora_runu4ixn11h_GAT,63.65,81.92,88.38,90.77,91.88,91.88,71.89,63.65,81.92,88.38,90.77,91.88,91.88,96.34,97.28,87.27,0.01,1024,32,32,4,0.2,0.0,5,10000
cora_runxpmcenbz_GAT,54.61,83.21,88.75,90.77,91.88,91.88,71.66,54.61,83.21,88.75,90.77,91.88,91.88,96.58,97.27,86.16,0.01,1024,32,32,4,0.1,0.0,6,10000
cora_runtupfe2lr_GAT,63.65,81.92,88.01,90.77,91.88,91.88,71.89,63.65,81.92,88.01,90.77,91.88,91.88,96.34,97.28,87.27,0.01,1024,32,32,4,0.2,0.0,6,10000
cora_runz5x8g5y3_GAT,73.62,83.21,88.38,90.77,91.7,91.88,71.66,73.62,83.21,88.38,90.77,91.7,91.88,96.55,97.27,87.27,0.01,1024,32,32,4,0.1,0.0,7,10000
cora_runwu8l0jpl_GAT,63.65,81.92,88.01,90.77,91.88,91.88,71.89,63.65,81.92,88.01,90.77,91.88,91.88,96.34,97.28,87.27,0.01,1024,32,32,4,0.2,0.0,7,10000
cora_runzisr358v_GAT,64.02,80.07,88.38,90.77,91.7,91.88,72.03,64.02,80.07,88.38,90.77,91.7,91.88,96.55,97.27,87.27,0.01,1024,32,32,4,0.1,0.1,5,10000
cora_run1k890lgf_GAT,78.78,81.92,88.01,90.77,91.88,91.88,81.54,78.78,81.92,88.01,90.77,91.88,91.88,96.34,97.28,87.27,0.01,1024,32,32,4,0.2,0.1,5,10000
